fecha_utc,equity,precio,posicion
2026-09-02 19:06:38 UTC,999.00,2395.22,LONG
2026-09-02 19:08:39 UTC,999.42,2396.23,LONG
2026-09-02 21:05:41 UTC,997.66,2392.13,LONG
2026-09-03 00:18:55 UTC,995.29,2386.32,LONG
2026-09-03 07:12:26 UTC,1006.85,2414.05,LONG
2026-09-03 12:51:07 UTC,1008.31,2417.45,LONG
2026-09-03 17:52:58 UTC,1043.82,2502.69,LONG
2026-09-03 21:04:45 UTC,1043.11,2500.97,LONG
2026-09-04 00:08:13 UTC,1044.14,2503.44,LONG
2026-09-04 04:38:23 UTC,1050.56,2518.85,LONG
2026-09-04 11:22:28 UTC,1053.38,2525.60,LONG
2026-09-04 16:24:29 UTC,1022.54,2451.65,LONG
2026-09-04 20:47:51 UTC,1023.81,2454.70,LONG
2026-09-05 00:08:27 UTC,1023.34,2453.57,LONG
2026-09-05 04:34:24 UTC,1022.62,2451.86,LONG
2026-09-05 10:39:20 UTC,1023.93,2455.00,LONG
2026-09-05 15:17:25 UTC,1024.78,2457.04,LONG
2026-09-05 18:20:44 UTC,1033.63,2478.25,LONG
2026-09-05 22:04:23 UTC,1037.67,2487.94,LONG
2026-09-05 23:55:47 UTC,1035.46,2482.64,LONG
2026-09-06 04:43:42 UTC,1044.39,2504.05,LONG
2026-09-06 11:01:18 UTC,1043.05,2500.84,LONG
2026-09-06 15:30:18 UTC,1034.21,2479.65,LONG
2026-09-06 18:20:26 UTC,1040.02,2493.57,LONG
2026-09-06 22:08:33 UTC,1042.72,2500.04,LONG
2026-09-06 23:57:31 UTC,1048.26,2513.32,LONG
2026-09-07 04:47:03 UTC,1041.67,2497.53,LONG
2026-09-07 12:39:27 UTC,1040.24,2494.11,LONG
2026-09-07 18:45:11 UTC,1038.32,2489.49,LONG
2026-09-07 22:51:45 UTC,1035.27,2482.17,LONG
2026-09-08 04:42:09 UTC,1035.32,2482.32,LONG
2026-09-08 11:23:31 UTC,1033.05,2476.86,LONG
2026-09-08 16:40:55 UTC,1043.70,2503.09,LONG
2026-09-08 21:12:26 UTC,1036.90,2486.09,LONG
2026-09-09 00:17:56 UTC,1039.71,2492.82,LONG
2026-09-09 07:25:00 UTC,1048.58,2514.08,LONG
2026-09-09 12:59:15 UTC,1046.91,2510.08,LONG
2026-09-09 17:51:09 UTC,1039.21,2491.63,LONG
2026-09-09 20:58:14 UTC,1030.22,2470.08,LONG
2026-09-10 00:17:10 UTC,1029.24,2467.72,LONG
2026-09-10 07:20:13 UTC,1031.76,2473.96,LONG
2026-09-10 12:56:41 UTC,1007.17,2414.09,LONG
2026-09-10 17:43:19 UTC,1028.60,2466.20,LONG
