fecha_utc,equity,precio,posicion
2026-07-11 22:38:31 UTC,1000.00,4113.70,CASH
2026-07-12 05:20:47 UTC,1000.00,4113.70,CASH
2026-07-13 04:02:41 UTC,1000.00,4066.50,CASH
2026-07-14 03:37:36 UTC,1000.00,4024.00,CASH
2026-07-15 03:38:26 UTC,1000.00,4037.20,CASH
2026-07-16 03:40:51 UTC,1000.00,4039.00,CASH
2026-07-17 03:40:35 UTC,1000.00,4004.30,CASH
2026-07-18 03:35:02 UTC,1000.00,4023.00,CASH
2026-07-19 00:12:52 UTC,1000.00,4018.80,CASH
2026-07-20 04:07:05 UTC,1000.00,4028.30,CASH
2026-07-21 03:48:36 UTC,1000.00,4049.20,CASH
2026-07-22 03:49:53 UTC,1000.00,4138.10,CASH
2026-07-23 03:47:28 UTC,1000.00,4131.60,CASH
2026-07-24 03:46:18 UTC,1000.00,4034.70,CASH
2026-07-25 03:40:47 UTC,1000.00,4055.70,CASH
2026-07-26 03:57:47 UTC,1000.00,4070.80,CASH
2026-07-27 04:05:08 UTC,1000.00,4091.00,CASH
2026-07-28 03:39:35 UTC,1000.00,4047.70,CASH
2026-07-29 03:43:11 UTC,1000.00,4022.90,CASH
2026-07-30 03:32:04 UTC,1000.00,4113.00,CASH
2026-07-31 03:52:48 UTC,1000.00,4133.70,CASH
2026-08-01 03:53:03 UTC,1000.00,4098.60,CASH
2026-08-02 03:55:35 UTC,1000.00,4107.00,CASH
2026-08-03 03:56:57 UTC,1000.00,4115.60,CASH
2026-08-04 03:40:37 UTC,1000.00,4112.50,CASH
2026-08-05 03:35:28 UTC,1000.00,4188.80,CASH
2026-08-06 03:41:50 UTC,1000.00,4325.30,CASH
2026-08-07 00:17:07 UTC,1000.00,4308.50,CASH
2026-08-08 02:23:19 UTC,1000.00,4401.30,CASH
2026-08-09 02:30:54 UTC,1000.00,4399.70,CASH
2026-08-10 02:36:11 UTC,1000.00,4387.30,CASH
2026-08-11 02:29:33 UTC,1000.00,4492.90,CASH
2026-08-12 02:46:47 UTC,1000.00,4457.50,CASH
2026-08-13 02:49:22 UTC,1000.00,4464.00,CASH
2026-08-13 05:50:06 UTC,999.50,4458.00,LONG
2026-08-13 07:55:24 UTC,994.41,4435.30,LONG
2026-08-13 09:34:40 UTC,994.30,4434.80,LONG
2026-08-13 11:12:06 UTC,997.46,4448.90,LONG
2026-08-13 13:50:13 UTC,995.17,4438.70,LONG
2026-08-13 15:17:12 UTC,993.54,4431.40,LONG
2026-08-13 17:15:04 UTC,991.74,4423.40,LONG
2026-08-13 19:27:49 UTC,987.55,4404.70,LONG
2026-08-13 21:05:17 UTC,987.68,4405.30,LONG
