fecha_utc,accion,precio,pnl_pct,equity_despues
2026-07-30 13:43 UTC,BUY,4149.2686,,1032.27
2026-07-30 13:44 UTC,SELL,4155.2998,0.069,1032.37
2026-07-30 13:45 UTC,BUY,4146.6001,,1032.37
2026-07-30 13:46 UTC,SELL,4149.8999,0.069,1032.41
2026-07-30 13:47 UTC,BUY,4156.6001,,1032.41
2026-07-30 13:48 UTC,SELL,4160.7002,0.069,1032.45
2026-07-30 13:49 UTC,BUY,4153.8999,,1032.45
2026-07-30 13:51 UTC,SELL,4160.0000,0.069,1032.49
2026-07-30 13:52 UTC,BUY,4158.3999,,1032.49
2026-07-30 13:53 UTC,SELL,4162.1001,0.069,1032.53
2026-07-30 13:54 UTC,BUY,4162.1001,,1032.53
2026-07-30 13:58 UTC,SELL,4167.7998,0.069,1032.57
2026-07-30 13:59 UTC,BUY,4172.0000,,1032.57
2026-07-30 14:00 UTC,SELL,4179.2998,0.069,1032.62
2026-07-30 14:01 UTC,BUY,4171.7998,,1032.62
2026-07-30 14:02 UTC,SELL,4175.1001,0.069,1032.66
2026-07-30 14:03 UTC,BUY,4169.0000,,1032.66
2026-07-30 14:05 UTC,BUY,4165.9566,,1032.66
2026-07-30 14:06 UTC,BUY,4162.9155,,1032.66
2026-07-30 14:07 UTC,BUY,4159.8766,,1032.66
2026-07-30 14:07 UTC,BUY,4156.8398,,1032.66
2026-07-30 14:08 UTC,BUY,4153.8054,,1032.66
2026-07-30 14:10 UTC,SELL,4161.2998,0.069,1033.51
2026-07-30 14:11 UTC,BUY,4161.7002,,1033.51
2026-07-30 14:12 UTC,BUY,4158.6622,,1033.51
2026-07-30 14:13 UTC,BUY,4155.6263,,1033.51
2026-07-30 14:18 UTC,BUY,4152.5927,,1033.51
2026-07-30 14:20 UTC,BUY,4149.5613,,1033.51
2026-07-30 14:20 UTC,BUY,4146.5322,,1033.51
2026-07-30 14:22 UTC,SELL,4156.2998,0.069,1034.37
2026-07-30 14:23 UTC,BUY,4156.6001,,1034.37
2026-07-30 14:24 UTC,BUY,4153.5658,,1034.37
2026-07-30 14:24 UTC,BUY,4150.5337,,1034.37
2026-07-30 14:24 UTC,BUY,4147.5038,,1034.37
2026-07-30 14:28 UTC,SELL,4155.0000,0.069,1034.70
2026-07-30 14:29 UTC,BUY,4155.2002,,1034.70
2026-07-30 14:33 UTC,SELL,4162.1001,0.069,1034.74
2026-07-30 14:34 UTC,BUY,4159.7002,,1034.74
2026-07-30 14:36 UTC,SELL,4164.6001,0.069,1034.78
2026-07-30 14:37 UTC,BUY,4163.6001,,1034.78
2026-07-30 14:40 UTC,SELL,4167.8999,0.069,1034.83
2026-07-30 14:41 UTC,BUY,4165.3999,,1034.83
2026-07-30 14:43 UTC,SELL,4168.7002,0.069,1034.87
2026-07-30 14:44 UTC,BUY,4170.2002,,1034.87
2026-07-30 14:45 UTC,BUY,4167.1559,,1034.87
