fecha_utc,equity,precio,posicion
2026-07-19 22:24:21 UTC,1000.00,1.1621,MART
2026-07-20 00:58:23 UTC,1000.02,1.1625,MART
2026-07-20 03:32:25 UTC,1000.00,1.1621,MART
2026-07-20 06:06:27 UTC,1000.04,1.1628,MART
2026-07-20 08:40:28 UTC,1000.03,1.1626,MART
2026-07-20 11:14:30 UTC,1000.00,1.1620,MART
2026-07-20 13:48:32 UTC,1000.16,1.1633,MART
2026-07-20 16:22:34 UTC,1000.19,1.1639,MART
2026-07-20 18:56:36 UTC,1000.19,1.1638,MART
2026-07-20 21:30:37 UTC,1000.20,1.1640,MART
2026-07-21 00:04:39 UTC,1000.11,1.1632,MART
2026-07-21 02:38:41 UTC,1000.10,1.1628,MART
2026-07-21 05:12:43 UTC,1000.32,1.1634,MART
2026-07-21 07:46:44 UTC,1000.05,1.1627,MART
2026-07-21 10:20:46 UTC,1000.03,1.1626,MART
2026-07-21 12:54:48 UTC,1000.05,1.1627,MART
2026-07-21 15:28:50 UTC,1000.12,1.1629,MART
2026-07-21 18:02:52 UTC,1000.19,1.1631,MART
2026-07-21 20:36:53 UTC,1000.41,1.1637,MART
2026-07-21 23:10:55 UTC,1000.48,1.1639,MART
2026-07-22 01:44:57 UTC,1000.46,1.1635,MART
2026-07-22 04:18:59 UTC,1000.52,1.1637,MART
2026-07-22 06:53:01 UTC,1000.51,1.1637,MART
2026-07-22 09:27:02 UTC,1000.52,1.1637,MART
2026-07-22 12:01:04 UTC,1000.62,1.1645,MART
2026-07-22 14:35:06 UTC,1000.63,1.1647,MART
2026-07-22 17:09:08 UTC,1000.62,1.1643,MART
2026-07-22 19:43:10 UTC,1000.62,1.1644,MART
2026-07-22 22:17:11 UTC,1000.69,1.1661,MART
2026-07-23 00:51:13 UTC,1000.68,1.1660,MART
2026-07-23 03:25:15 UTC,1000.69,1.1661,MART
2026-07-23 05:59:17 UTC,1000.63,1.1653,MART
2026-07-23 08:33:18 UTC,1000.64,1.1654,MART
2026-07-23 11:07:20 UTC,1000.58,1.1650,MART
2026-07-23 13:41:22 UTC,1000.25,1.1639,MART
2026-07-23 16:15:24 UTC,999.44,1.1629,MART
2026-07-23 18:49:26 UTC,998.89,1.1625,MART
2026-07-23 21:23:27 UTC,999.86,1.1631,MART
2026-07-23 23:57:29 UTC,999.53,1.1629,MART
2026-07-24 02:31:31 UTC,985.62,1.1598,MART
2026-07-24 05:05:33 UTC,986.93,1.1600,MART
2026-07-24 07:39:35 UTC,988.24,1.1602,MART
2026-07-24 10:13:36 UTC,992.21,1.1608,MART
2026-07-24 12:47:38 UTC,984.65,1.1596,MART
2026-07-24 15:21:40 UTC,986.84,1.1599,MART
2026-07-24 17:55:42 UTC,990.81,1.1606,MART
2026-07-24 20:29:44 UTC,986.80,1.1599,MART
2026-07-24 23:03:45 UTC,981.02,1.1591,MART
2026-07-25 01:37:47 UTC,982.33,1.1593,MART
2026-07-25 04:11:49 UTC,983.65,1.1595,MART
2026-07-25 06:45:51 UTC,977.91,1.1586,MART
2026-07-25 09:19:53 UTC,977.45,1.1585,MART
2026-07-25 11:53:54 UTC,973.44,1.1579,MART
2026-07-25 14:27:56 UTC,975.63,1.1582,MART
2026-07-25 17:01:58 UTC,976.94,1.1584,MART
2026-07-25 19:36:00 UTC,979.13,1.1588,MART
2026-07-25 22:10:01 UTC,977.78,1.1586,MART
2026-07-26 00:44:03 UTC,979.98,1.1589,MART
2026-07-26 03:18:05 UTC,983.93,1.1595,MART
2026-07-26 05:52:07 UTC,988.78,1.1602,MART
2026-07-26 08:26:09 UTC,988.32,1.1602,MART
2026-07-26 11:00:10 UTC,988.73,1.1602,MART
2026-07-26 13:34:12 UTC,982.95,1.1594,MART
2026-07-26 16:08:14 UTC,983.38,1.1594,MART
2026-07-26 18:42:16 UTC,979.40,1.1588,MART
2026-07-26 21:16:18 UTC,978.05,1.1586,MART
2026-07-26 23:50:19 UTC,979.36,1.1588,MART
2026-07-27 02:24:21 UTC,980.67,1.1590,MART
2026-07-27 04:58:23 UTC,981.98,1.1592,MART
2026-07-27 07:32:25 UTC,981.52,1.1591,MART
2026-07-27 10:06:27 UTC,982.83,1.1593,MART
2026-07-27 12:40:28 UTC,985.02,1.1597,MART
2026-07-27 15:14:30 UTC,993.42,1.1610,MART
2026-07-27 17:48:32 UTC,988.51,1.1602,MART
2026-07-27 20:22:34 UTC,988.04,1.1601,MART
2026-07-27 22:56:36 UTC,989.36,1.1603,MART
2026-07-28 01:30:37 UTC,988.89,1.1603,MART
2026-07-28 04:04:39 UTC,985.76,1.1598,MART
2026-07-28 06:38:41 UTC,987.08,1.1600,MART
2026-07-28 09:12:43 UTC,986.62,1.1599,MART
2026-07-28 11:46:44 UTC,979.10,1.1588,MART
2026-07-28 14:20:46 UTC,968.01,1.1571,MART
2026-07-28 16:54:48 UTC,964.90,1.1566,MART
2026-07-28 19:28:50 UTC,972.41,1.1577,MART
2026-07-28 22:02:52 UTC,977.25,1.1585,MART
2026-07-29 00:36:53 UTC,979.44,1.1588,MART
2026-07-29 03:10:55 UTC,974.58,1.1581,MART
2026-07-29 05:44:57 UTC,980.32,1.1590,MART
2026-07-29 08:18:59 UTC,976.31,1.1583,MART
2026-07-29 10:53:01 UTC,966.16,1.1568,MART
2026-07-29 13:27:02 UTC,966.58,1.1569,MART
2026-07-29 16:01:04 UTC,957.28,1.1554,MART
2026-07-29 18:35:06 UTC,959.48,1.1558,MART
2026-07-29 21:09:08 UTC,959.90,1.1558,MART
2026-07-29 23:43:10 UTC,963.88,1.1564,MART
2026-07-30 02:17:11 UTC,966.95,1.1569,MART
2026-07-30 04:51:13 UTC,970.92,1.1575,MART
2026-07-30 07:25:15 UTC,970.45,1.1574,MART
2026-07-30 09:59:17 UTC,970.88,1.1575,MART
2026-07-30 12:33:18 UTC,974.85,1.1581,MART
2026-07-30 15:07:20 UTC,969.07,1.1572,MART
2026-07-30 17:41:22 UTC,971.25,1.1576,MART
2026-07-30 20:15:24 UTC,969.90,1.1574,MART
2026-07-30 22:49:26 UTC,969.44,1.1573,MART
2026-07-31 01:23:27 UTC,972.51,1.1578,MART
2026-07-31 03:57:29 UTC,972.94,1.1578,MART
2026-07-31 06:31:31 UTC,971.59,1.1576,MART
2026-07-31 09:05:33 UTC,969.36,1.1573,MART
2026-07-31 11:39:35 UTC,975.94,1.1583,MART
2026-07-31 14:13:36 UTC,970.16,1.1574,MART
2026-07-31 16:47:38 UTC,968.81,1.1572,MART
2026-07-31 19:21:40 UTC,968.34,1.1571,MART
2026-07-31 21:55:42 UTC,968.77,1.1572,MART
2026-08-01 00:29:44 UTC,967.42,1.1570,MART
2026-08-01 03:03:45 UTC,963.42,1.1564,MART
2026-08-01 05:37:47 UTC,943.58,1.1534,MART
2026-08-01 08:11:49 UTC,941.36,1.1530,MART
2026-08-01 10:45:51 UTC,945.30,1.1536,MART
2026-08-01 13:19:53 UTC,944.84,1.1535,MART
2026-08-01 15:53:54 UTC,943.49,1.1533,MART
2026-08-01 18:27:56 UTC,946.55,1.1538,MART
2026-08-01 21:01:58 UTC,946.09,1.1537,MART
2026-08-01 23:36:00 UTC,934.23,1.1519,MART
2026-08-02 02:10:01 UTC,938.17,1.1525,MART
2026-08-02 04:44:03 UTC,944.76,1.1535,MART
2026-08-02 07:18:05 UTC,940.77,1.1529,MART
2026-08-02 09:52:07 UTC,947.38,1.1539,MART
2026-08-02 12:26:09 UTC,946.04,1.1537,MART
2026-08-02 15:00:10 UTC,944.70,1.1535,MART
2026-08-02 17:34:12 UTC,947.76,1.1540,MART
2026-08-02 20:08:14 UTC,945.53,1.1536,MART
2026-08-02 22:42:16 UTC,949.49,1.1543,MART
2026-08-03 01:16:18 UTC,952.55,1.1547,MART
2026-08-03 03:50:19 UTC,948.59,1.1541,MART
2026-08-03 06:24:21 UTC,944.62,1.1535,MART
2026-08-03 08:58:23 UTC,945.91,1.1537,MART
2026-08-03 11:32:25 UTC,946.34,1.1538,MART
2026-08-03 14:06:27 UTC,942.34,1.1532,MART
2026-08-03 16:40:28 UTC,946.28,1.1538,MART
2026-08-03 19:14:30 UTC,943.18,1.1533,MART
2026-08-03 21:48:32 UTC,944.48,1.1535,MART
2026-08-04 00:22:34 UTC,948.44,1.1541,MART
2026-08-04 02:56:36 UTC,941.79,1.1531,MART
2026-08-04 05:30:37 UTC,932.51,1.1517,MART
2026-08-04 08:04:39 UTC,937.34,1.1524,MART
2026-08-04 10:38:41 UTC,934.24,1.1519,MART
2026-08-04 13:12:43 UTC,934.66,1.1520,MART
2026-08-04 15:46:44 UTC,933.31,1.1518,MART
2026-08-04 18:20:46 UTC,931.09,1.1514,MART
2026-08-04 20:54:48 UTC,931.51,1.1515,MART
2026-08-04 23:28:50 UTC,927.53,1.1509,MART
2026-08-05 02:02:52 UTC,933.23,1.1518,MART
2026-08-05 04:36:53 UTC,931.89,1.1516,MART
2026-08-05 07:10:55 UTC,931.43,1.1515,MART
2026-08-05 09:44:57 UTC,937.15,1.1524,MART
2026-08-05 12:18:59 UTC,936.68,1.1523,MART
2026-08-05 14:53:01 UTC,937.10,1.1524,MART
2026-08-05 17:27:02 UTC,935.77,1.1522,MART
2026-08-05 20:01:04 UTC,926.56,1.1508,MART
2026-08-05 22:35:06 UTC,930.50,1.1514,MART
2026-08-06 01:09:08 UTC,931.78,1.1516,MART
2026-08-06 03:43:10 UTC,933.08,1.1518,MART
2026-08-06 06:17:11 UTC,930.85,1.1514,MART
2026-08-06 08:51:13 UTC,932.15,1.1516,MART
2026-08-06 11:25:15 UTC,932.58,1.1517,MART
2026-08-06 13:59:17 UTC,932.12,1.1516,MART
2026-08-06 16:33:18 UTC,936.96,1.1523,MART
2026-08-06 19:07:20 UTC,933.85,1.1519,MART
2026-08-06 21:41:22 UTC,936.03,1.1522,MART
2026-08-07 00:15:24 UTC,932.04,1.1516,MART
2026-08-07 02:49:26 UTC,931.58,1.1515,MART
2026-08-07 05:23:27 UTC,933.78,1.1519,MART
2026-08-07 07:57:29 UTC,941.22,1.1530,MART
2026-08-07 10:31:31 UTC,940.77,1.1529,MART
2026-08-07 13:05:33 UTC,946.49,1.1538,MART
2026-08-07 15:39:35 UTC,949.57,1.1543,MART
2026-08-07 18:13:36 UTC,947.36,1.1539,MART
2026-08-07 20:47:38 UTC,952.17,1.1547,MART
2026-08-07 23:21:40 UTC,949.95,1.1543,MART
2026-08-08 01:55:42 UTC,946.83,1.1538,MART
2026-08-08 04:29:44 UTC,951.67,1.1546,MART
2026-08-08 07:03:45 UTC,943.26,1.1533,MART
2026-08-08 09:37:47 UTC,950.75,1.1544,MART
2026-08-08 12:11:49 UTC,945.88,1.1537,MART
2026-08-08 14:45:51 UTC,948.93,1.1542,MART
2026-08-08 17:19:53 UTC,946.71,1.1538,MART
2026-08-08 19:53:54 UTC,948.02,1.1540,MART
2026-08-08 22:27:56 UTC,944.01,1.1534,MART
2026-08-09 01:01:58 UTC,944.44,1.1535,MART
2026-08-09 03:36:00 UTC,951.93,1.1546,MART
2026-08-09 06:10:01 UTC,952.34,1.1547,MART
2026-08-09 08:44:03 UTC,952.77,1.1548,MART
2026-08-09 11:18:05 UTC,950.53,1.1544,MART
2026-08-09 13:52:07 UTC,958.91,1.1557,MART
2026-08-09 16:26:09 UTC,962.83,1.1563,MART
2026-08-09 19:00:10 UTC,960.60,1.1559,MART
2026-08-09 21:34:12 UTC,961.02,1.1560,MART
2026-08-10 00:08:14 UTC,957.02,1.1554,MART
2026-08-10 02:42:16 UTC,963.64,1.1564,MART
2026-08-10 05:16:18 UTC,958.73,1.1557,MART
2026-08-10 07:50:19 UTC,960.04,1.1559,MART
2026-08-10 10:24:21 UTC,957.81,1.1555,MART
2026-08-10 12:58:23 UTC,956.48,1.1553,MART
2026-08-10 15:32:25 UTC,970.98,1.1575,MART
2026-08-10 18:06:27 UTC,977.58,1.1585,MART
2026-08-10 20:40:28 UTC,980.66,1.1590,MART
2026-08-10 23:14:30 UTC,980.19,1.1589,MART
2026-08-11 01:48:32 UTC,982.40,1.1593,MART
2026-08-11 04:22:34 UTC,981.04,1.1591,MART
2026-08-11 06:56:36 UTC,980.59,1.1590,MART
2026-08-11 09:30:37 UTC,980.12,1.1589,MART
2026-08-11 12:04:39 UTC,981.43,1.1591,MART
2026-08-11 14:38:41 UTC,980.08,1.1589,MART
2026-08-11 17:12:43 UTC,976.96,1.1584,MART
2026-08-11 19:46:44 UTC,972.08,1.1577,MART
2026-08-11 22:20:46 UTC,976.04,1.1583,MART
2026-08-12 00:54:48 UTC,975.58,1.1582,MART
2026-08-12 03:28:50 UTC,973.34,1.1579,MART
2026-08-12 06:02:52 UTC,972.88,1.1578,MART
2026-08-12 08:36:53 UTC,971.54,1.1576,MART
2026-08-12 11:10:55 UTC,974.62,1.1581,MART
2026-08-12 13:44:57 UTC,975.91,1.1583,MART
2026-08-12 16:18:59 UTC,972.81,1.1578,MART
2026-08-12 18:53:01 UTC,973.23,1.1579,MART
2026-08-12 21:27:02 UTC,971.90,1.1577,MART
2026-08-13 00:01:04 UTC,970.55,1.1575,MART
2026-08-13 02:35:06 UTC,974.51,1.1581,MART
2026-08-13 05:09:08 UTC,974.05,1.1580,MART
2026-08-13 07:43:10 UTC,978.01,1.1586,MART
2026-08-13 10:17:11 UTC,978.44,1.1587,MART
2026-08-13 12:51:13 UTC,978.86,1.1587,MART
2026-08-13 15:25:15 UTC,979.29,1.1588,MART
2026-08-13 17:59:17 UTC,977.94,1.1586,MART
2026-08-13 20:33:18 UTC,978.37,1.1587,MART
2026-08-13 23:07:20 UTC,978.81,1.1587,MART
2026-08-14 01:41:22 UTC,979.25,1.1588,MART
2026-08-14 04:15:24 UTC,982.34,1.1593,MART
2026-08-14 06:49:26 UTC,983.66,1.1595,MART
2026-08-14 09:23:27 UTC,981.41,1.1591,MART
2026-08-14 11:57:29 UTC,976.53,1.1584,MART
2026-08-14 14:31:31 UTC,982.27,1.1593,MART
2026-08-14 17:05:33 UTC,980.92,1.1590,MART
2026-08-14 19:39:35 UTC,980.46,1.1590,MART
2026-08-14 22:13:36 UTC,983.55,1.1594,MART
2026-08-15 00:47:38 UTC,987.52,1.1601,MART
2026-08-15 03:21:40 UTC,992.38,1.1608,MART
2026-08-15 05:55:42 UTC,991.03,1.1606,MART
2026-08-15 08:29:44 UTC,986.14,1.1598,MART
2026-08-15 11:03:45 UTC,986.56,1.1599,MART
2026-08-15 13:37:47 UTC,986.98,1.1600,MART
2026-08-15 16:11:49 UTC,982.98,1.1594,MART
2026-08-15 18:45:51 UTC,995.76,1.1613,MART
2026-08-15 21:19:53 UTC,998.82,1.1618,MART
2026-08-15 23:53:54 UTC,1002.80,1.1624,MART
2026-08-16 02:27:56 UTC,1003.22,1.1624,MART
2026-08-16 05:01:58 UTC,1005.96,1.1636,MART
2026-08-16 07:36:00 UTC,1006.00,1.1646,MART
2026-08-16 10:10:01 UTC,1006.02,1.1649,MART
2026-08-16 12:44:03 UTC,1006.06,1.1660,MART
2026-08-16 15:18:05 UTC,1006.09,1.1667,MART
2026-08-16 17:52:07 UTC,1006.12,1.1670,MART
2026-08-16 20:26:09 UTC,1006.05,1.1657,MART
2026-08-16 23:00:10 UTC,1006.08,1.1659,MART
2026-08-17 01:34:12 UTC,1006.03,1.1656,MART
2026-08-17 04:08:14 UTC,1006.00,1.1654,MART
2026-08-17 06:42:16 UTC,1006.23,1.1671,MART
2026-08-17 09:16:18 UTC,1006.24,1.1674,MART
2026-08-17 11:50:19 UTC,1006.24,1.1674,MART
2026-08-17 14:24:21 UTC,1006.29,1.1684,MART
2026-08-17 16:58:23 UTC,1006.18,1.1678,MART
2026-08-17 19:32:25 UTC,1006.09,1.1673,MART
2026-08-17 22:06:27 UTC,1006.11,1.1673,MART
2026-08-18 00:40:28 UTC,1005.55,1.1662,MART
2026-08-18 03:14:30 UTC,1006.34,1.1672,MART
2026-08-18 05:48:32 UTC,1006.70,1.1677,MART
2026-08-18 08:22:34 UTC,1006.90,1.1679,MART
2026-08-18 10:56:36 UTC,1006.91,1.1681,MART
2026-08-18 13:30:37 UTC,1006.92,1.1681,MART
2026-08-18 16:04:39 UTC,1006.91,1.1679,MART
