fecha_utc,equity,precio,posicion
2026-07-19 00:12:55 UTC,1000.00,1.14,MART
2026-07-19 03:57:49 UTC,1000.00,1.14,MART
2026-07-19 06:44:03 UTC,1000.00,1.14,MART
2026-07-19 10:01:18 UTC,1000.00,1.14,MART
2026-07-19 11:32:12 UTC,1000.00,1.14,MART
2026-07-19 13:55:48 UTC,1000.00,1.14,MART
2026-07-19 15:16:57 UTC,1000.00,1.14,MART
2026-07-19 17:18:13 UTC,1000.00,1.14,MART
2026-07-19 19:34:25 UTC,1000.00,1.14,MART
2026-07-19 21:09:25 UTC,999.92,1.14,MART
2026-07-19 23:13:49 UTC,999.91,1.14,MART
2026-07-20 04:07:06 UTC,1000.00,1.14,MART
2026-07-20 04:28:39 UTC,1000.03,1.14,MART
2026-07-20 04:50:37 UTC,1000.03,1.14,MART
2026-07-20 07:32:19 UTC,1000.03,1.14,MART
2026-07-20 11:15:33 UTC,999.81,1.14,MART
2026-07-20 14:34:45 UTC,998.17,1.14,MART
2026-07-20 18:21:43 UTC,1000.97,1.14,MART
2026-07-20 21:34:22 UTC,999.68,1.14,MART
2026-07-20 23:16:42 UTC,999.68,1.14,MART
2026-07-21 03:48:38 UTC,1000.11,1.14,MART
2026-07-21 06:43:05 UTC,1002.70,1.14,MART
2026-07-21 10:34:54 UTC,1002.65,1.14,MART
2026-07-21 14:25:56 UTC,1002.69,1.14,MART
2026-07-21 17:47:30 UTC,1002.45,1.14,MART
2026-07-21 19:54:31 UTC,1002.26,1.14,MART
2026-07-21 21:34:09 UTC,1002.17,1.14,MART
2026-07-21 23:14:19 UTC,1002.17,1.14,MART
2026-07-22 03:49:56 UTC,1002.69,1.14,MART
2026-07-22 06:43:57 UTC,1003.24,1.14,MART
2026-07-22 10:35:06 UTC,1003.24,1.14,MART
2026-07-22 14:25:36 UTC,1003.36,1.14,MART
2026-07-22 17:43:07 UTC,1003.34,1.14,MART
2026-07-22 19:46:07 UTC,1003.40,1.14,MART
2026-07-22 21:31:31 UTC,1003.34,1.14,MART
2026-07-22 23:17:15 UTC,1003.36,1.14,MART
2026-07-23 03:47:32 UTC,1003.55,1.14,MART
2026-07-23 06:41:37 UTC,1003.52,1.14,MART
2026-07-23 10:35:50 UTC,1003.26,1.14,MART
2026-07-23 14:35:11 UTC,993.45,1.14,MART
2026-07-23 17:49:03 UTC,996.05,1.14,MART
2026-07-23 19:47:46 UTC,996.05,1.14,MART
2026-07-23 21:30:09 UTC,997.78,1.14,MART
2026-07-23 23:13:06 UTC,998.65,1.14,MART
2026-07-24 03:46:20 UTC,1001.25,1.14,MART
2026-07-24 06:41 UTC,1003.85,1.14,MART
2026-07-24 10:29:22 UTC,1008.81,1.14,MART
2026-07-24 14:14:58 UTC,1008.82,1.14,MART
2026-07-24 15:49:23 UTC,1009.38,1.14,MART
2026-07-24 17:53:45 UTC,1009.15,1.14,MART
2026-07-24 19:48:48 UTC,1009.25,1.14,MART
2026-07-24 21:30:15 UTC,1009.30,1.14,MART
2026-07-24 23:17:59 UTC,1009.21,1.14,MART
2026-07-25 03:40:49 UTC,1009.21,1.14,MART
2026-07-25 06:30:42 UTC,1009.21,1.14,MART
2026-07-25 10:01:22 UTC,1009.21,1.14,MART
2026-07-25 11:37:13 UTC,1009.21,1.14,MART
2026-07-25 14:03:52 UTC,1009.21,1.14,MART
2026-07-25 15:30:26 UTC,1009.21,1.14,MART
2026-07-25 17:18:01 UTC,1009.21,1.14,MART
2026-07-25 19:36:44 UTC,1009.21,1.14,MART
2026-07-25 21:10:20 UTC,1009.21,1.14,MART
2026-07-25 23:14:42 UTC,1009.21,1.14,MART
2026-07-26 03:57:49 UTC,1009.21,1.14,MART
2026-07-26 07:05:45 UTC,1009.21,1.14,MART
2026-07-26 10:13:55 UTC,1009.21,1.14,MART
2026-07-26 11:39:36 UTC,1009.21,1.14,MART
2026-07-26 13:59:37 UTC,1009.21,1.14,MART
2026-07-26 15:31:30 UTC,1009.21,1.14,MART
2026-07-26 17:17:57 UTC,1009.21,1.14,MART
2026-07-26 19:36:46 UTC,1009.21,1.14,MART
2026-07-26 21:13:13 UTC,1009.21,1.14,MART
2026-07-27 04:05:09 UTC,1009.73,1.14,MART
2026-07-27 07:54:34 UTC,1009.66,1.14,MART
2026-07-27 11:42:33 UTC,1009.42,1.14,MART
2026-07-27 15:16:06 UTC,1006.03,1.14,MART
2026-07-27 17:57:12 UTC,1006.46,1.14,MART
2026-07-27 19:57:07 UTC,1006.03,1.14,MART
2026-07-27 21:31:10 UTC,1014.47,1.14,MART
2026-07-27 23:28:43 UTC,1007.53,1.14,MART
2026-07-28 03:39:37 UTC,1011.87,1.14,MART
2026-07-28 06:42:11 UTC,1006.67,1.14,MART
2026-07-28 10:46:08 UTC,998.88,1.14,MART
2026-07-28 14:40:51 UTC,1011.87,1.14,MART
2026-07-28 17:46:01 UTC,1015.05,1.14,MART
2026-07-28 19:54:55 UTC,1015.05,1.14,MART
2026-07-28 21:33:36 UTC,1015.16,1.14,MART
2026-07-28 23:17:23 UTC,1014.92,1.14,MART
2026-07-29 03:43:13 UTC,1015.41,1.14,MART
2026-07-29 06:46:49 UTC,1015.37,1.14,MART
2026-07-29 10:49:24 UTC,1015.32,1.14,MART
2026-07-29 14:33:08 UTC,1015.68,1.14,MART
2026-07-29 17:40:31 UTC,1015.98,1.14,MART
2026-07-29 19:46:26 UTC,1016.46,1.15,MART
2026-07-29 21:14:02 UTC,1016.40,1.15,MART
2026-07-29 23:16:27 UTC,1017.84,1.15,MART
2026-07-30 03:32:05 UTC,1017.48,1.15,MART
2026-07-30 06:43:21 UTC,1017.29,1.14,MART
2026-07-30 10:35:05 UTC,1019.21,1.15,MART
2026-07-30 14:34:31 UTC,1019.49,1.15,MART
2026-07-30 17:51:51 UTC,1021.08,1.15,MART
2026-07-30 19:54:23 UTC,1021.07,1.15,MART
2026-07-30 21:34:16 UTC,1021.03,1.15,MART
2026-07-30 23:19:12 UTC,1021.03,1.15,MART
2026-07-31 03:52:50 UTC,1020.74,1.15,MART
2026-07-31 07:15:31 UTC,1021.70,1.15,MART
2026-07-31 11:00:29 UTC,1021.38,1.15,MART
2026-07-31 14:38:26 UTC,1025.70,1.15,MART
2026-07-31 17:54:32 UTC,1026.00,1.15,MART
2026-07-31 19:54:37 UTC,1025.99,1.15,MART
2026-07-31 21:30:12 UTC,1025.82,1.15,MART
2026-07-31 23:16:49 UTC,1025.84,1.15,MART
2026-08-01 03:53:05 UTC,1025.84,1.15,MART
2026-08-01 06:42:20 UTC,1025.84,1.15,MART
2026-08-01 10:12:09 UTC,1025.84,1.15,MART
2026-08-01 11:36:29 UTC,1025.84,1.15,MART
2026-08-01 13:57:33 UTC,1025.84,1.15,MART
2026-08-01 15:28:53 UTC,1025.84,1.15,MART
2026-08-01 17:17:09 UTC,1025.84,1.15,MART
2026-08-01 19:36:24 UTC,1025.84,1.15,MART
2026-08-01 21:10:53 UTC,1025.84,1.15,MART
2026-08-01 23:13:20 UTC,1025.84,1.15,MART
2026-08-02 03:55:37 UTC,1025.84,1.15,MART
2026-08-02 06:46:49 UTC,1025.84,1.15,MART
2026-08-02 10:10:11 UTC,1025.84,1.15,MART
2026-08-02 11:35:45 UTC,1025.84,1.15,MART
2026-08-02 13:58:40 UTC,1025.84,1.15,MART
2026-08-02 15:29:13 UTC,1025.84,1.15,MART
2026-08-02 17:18:14 UTC,1025.84,1.15,MART
2026-08-02 19:36:36 UTC,1025.84,1.15,MART
2026-08-02 21:11:49 UTC,1025.84,1.15,MART
2026-08-02 23:14:17 UTC,1026.29,1.15,MART
2026-08-03 03:56:58 UTC,1025.94,1.15,MART
2026-08-03 07:49:24 UTC,1025.73,1.15,MART
2026-08-03 11:46:27 UTC,1026.43,1.15,MART
2026-08-03 15:18:42 UTC,1021.17,1.15,MART
2026-08-03 18:08:51 UTC,1021.17,1.15,MART
2026-08-03 20:00:23 UTC,1026.43,1.15,MART
2026-08-03 21:31:40 UTC,1026.43,1.15,MART
2026-08-03 23:28:04 UTC,1025.55,1.15,MART
2026-08-04 03:40:38 UTC,1025.55,1.15,MART
2026-08-04 06:42:30 UTC,1022.92,1.15,MART
2026-08-04 10:58:30 UTC,1028.19,1.15,MART
2026-08-04 14:41:24 UTC,1031.69,1.15,MART
2026-08-04 18:04:44 UTC,1031.72,1.15,MART
2026-08-04 19:58:47 UTC,1031.81,1.15,MART
2026-08-04 21:38:15 UTC,1031.81,1.15,MART
2026-08-04 23:19:32 UTC,1031.82,1.15,MART
2026-08-05 03:35:30 UTC,1031.84,1.15,MART
2026-08-05 06:43:38 UTC,1031.86,1.15,MART
2026-08-05 10:47:19 UTC,1031.84,1.15,MART
2026-08-05 14:35:43 UTC,1031.90,1.16,MART
2026-08-05 17:54:46 UTC,1032.01,1.16,MART
2026-08-05 19:57:08 UTC,1031.97,1.16,MART
2026-08-05 21:34:47 UTC,1032.03,1.16,MART
2026-08-05 23:18:48 UTC,1032.05,1.16,MART
2026-08-06 03:41:52 UTC,1032.01,1.16,MART
2026-08-06 06:47:46 UTC,1031.96,1.16,MART
2026-08-06 10:49:45 UTC,1031.90,1.15,MART
2026-08-06 14:36:53 UTC,1031.79,1.15,MART
2026-08-07 00:17:08 UTC,1031.15,1.15,MART
2026-08-07 04:33:37 UTC,1031.59,1.15,MART
2026-08-07 07:43:38 UTC,1030.72,1.15,MART
2026-08-07 09:16:55 UTC,1033.77,1.15,MART
2026-08-07 11:09:02 UTC,1033.33,1.15,MART
2026-08-07 13:41:17 UTC,1034.81,1.16,MART
2026-08-07 15:10:35 UTC,1034.54,1.16,MART
2026-08-07 17:10:15 UTC,1034.68,1.16,MART
2026-08-07 19:18:04 UTC,1034.88,1.16,MART
2026-08-07 21:01:17 UTC,1034.64,1.16,MART
