fecha_utc,accion,precio,pnl_pct,equity_despues
2026-09-02 13:40 UTC,BUY,4414.1001,,1098.25
2026-09-02 13:42 UTC,SELL,4420.2002,0.069,1098.30
2026-09-02 13:43 UTC,BUY,4421.8999,,1098.30
2026-09-02 13:44 UTC,SELL,4427.0000,0.069,1098.34
2026-09-02 13:45 UTC,BUY,4423.7998,,1098.34
2026-09-02 13:46 UTC,BUY,4420.5704,,1098.34
2026-09-02 13:49 UTC,BUY,4417.3434,,1098.34
2026-09-02 13:52 UTC,SELL,4425.2002,0.069,1098.62
2026-09-02 13:53 UTC,BUY,4424.0000,,1098.62
2026-09-02 13:56 UTC,BUY,4420.7705,,1098.62
2026-09-02 13:57 UTC,SELL,4428.0000,0.069,1098.75
2026-09-02 13:58 UTC,BUY,4428.1001,,1098.75
2026-09-02 13:59 UTC,SELL,4433.5000,0.069,1098.79
2026-09-02 14:00 UTC,BUY,4431.3999,,1098.79
2026-09-02 14:01 UTC,BUY,4428.1650,,1098.79
2026-09-02 14:02 UTC,SELL,4432.7998,0.069,1098.91
2026-09-02 14:03 UTC,BUY,4429.7002,,1098.91
2026-09-02 14:04 UTC,SELL,4433.2002,0.069,1098.95
2026-09-02 14:05 UTC,BUY,4436.5000,,1098.95
2026-09-02 14:08 UTC,SELL,4441.1001,0.069,1099.00
2026-09-02 14:09 UTC,BUY,4438.0000,,1099.00
2026-09-02 14:10 UTC,SELL,4444.3999,0.069,1099.04
2026-09-02 14:11 UTC,BUY,4442.0000,,1099.04
2026-09-02 14:12 UTC,BUY,4438.7573,,1099.04
2026-09-02 14:13 UTC,BUY,4435.5170,,1099.04
2026-09-02 14:18 UTC,BUY,4432.2791,,1099.04
2026-09-02 14:19 UTC,SELL,4439.5000,0.069,1099.65
2026-09-02 14:20 UTC,BUY,4441.5000,,1099.65
2026-09-02 14:22 UTC,BUY,4438.2577,,1099.65
2026-09-02 14:23 UTC,BUY,4435.0178,,1099.65
2026-09-02 14:30 UTC,BUY,4431.7802,,1099.65
2026-09-02 14:40 UTC,BUY,4428.5450,,1099.65
2026-09-02 14:51 UTC,BUY,4425.3122,,1099.65
2026-09-02 14:58 UTC,BUY,4422.0817,,1099.65
2026-09-02 19:25 UTC,SELL,4428.8999,0.069,1104.88
2026-09-02 19:26 UTC,BUY,4428.6001,,1104.88
