fecha_utc,equity,precio,posicion
2026-08-26 17:39 UTC,835.30,159.3810,MART
2026-08-26 17:44 UTC,835.39,159.3830,MART
2026-08-26 17:49 UTC,836.65,159.4100,MART
2026-08-26 17:54 UTC,836.32,159.4030,MART
2026-08-26 17:59 UTC,835.58,159.3870,MART
2026-08-26 18:04 UTC,835.67,159.3890,MART
2026-08-26 18:09 UTC,835.44,159.3840,MART
2026-08-26 18:14 UTC,835.16,159.3780,MART
2026-08-26 18:19 UTC,835.34,159.3820,MART
2026-08-26 18:24 UTC,835.86,159.3930,MART
2026-08-26 18:29 UTC,836.00,159.3960,MART
2026-08-26 18:34 UTC,836.23,159.4010,MART
2026-08-26 18:39 UTC,836.51,159.4070,MART
2026-08-26 18:44 UTC,836.28,159.4020,MART
2026-08-26 18:49 UTC,835.58,159.3870,MART
2026-08-26 18:54 UTC,835.95,159.3950,MART
2026-08-26 18:59 UTC,836.00,159.3960,MART
2026-08-26 19:04 UTC,835.48,159.3850,MART
2026-08-26 19:09 UTC,834.87,159.3720,MART
2026-08-26 19:14 UTC,834.50,159.3640,MART
2026-08-26 19:19 UTC,835.67,159.3890,MART
2026-08-26 19:24 UTC,835.53,159.3860,MART
2026-08-26 19:29 UTC,834.97,159.3740,MART
2026-08-26 19:34 UTC,834.17,159.3570,MART
2026-08-26 19:39 UTC,834.41,159.3620,MART
2026-08-26 19:44 UTC,833.75,159.3480,MART
2026-08-26 19:49 UTC,833.99,159.3530,MART
2026-08-26 19:54 UTC,834.08,159.3550,MART
2026-08-26 19:59 UTC,833.61,159.3450,MART
2026-08-26 20:04 UTC,833.75,159.3480,MART
2026-08-26 20:09 UTC,833.47,159.3420,MART
2026-08-26 20:14 UTC,833.57,159.3440,MART
2026-08-26 20:19 UTC,833.38,159.3400,MART
2026-08-26 20:24 UTC,833.10,159.3340,MART
2026-08-26 20:29 UTC,832.17,159.3140,MART
2026-08-26 20:34 UTC,832.26,159.3160,MART
2026-08-26 20:39 UTC,831.28,159.2950,MART
2026-08-26 20:44 UTC,830.95,159.2880,MART
2026-08-26 20:49 UTC,831.65,159.3030,MART
2026-08-26 20:54 UTC,832.12,159.3130,MART
2026-08-26 20:59 UTC,830.86,159.2860,MART
2026-08-26 21:06 UTC,830.11,159.2700,MART
2026-08-26 21:11 UTC,828.66,159.2390,MART
2026-08-26 21:16 UTC,828.47,159.2350,MART
2026-08-26 21:21 UTC,829.46,159.2560,MART
2026-08-26 21:26 UTC,829.55,159.2580,MART
2026-08-26 21:31 UTC,830.34,159.2750,MART
2026-08-26 21:36 UTC,829.88,159.2650,MART
2026-08-26 21:41 UTC,829.36,159.2540,MART
2026-08-26 21:46 UTC,829.92,159.2660,MART
2026-08-26 21:51 UTC,829.60,159.2590,MART
2026-08-26 21:56 UTC,829.27,159.2520,MART
2026-08-26 22:01 UTC,830.11,159.2700,MART
2026-08-26 22:06 UTC,830.39,159.2760,MART
2026-08-26 22:11 UTC,830.58,159.2800,MART
2026-08-26 22:16 UTC,830.20,159.2720,MART
2026-08-26 22:21 UTC,830.06,159.2690,MART
2026-08-26 22:26 UTC,829.55,159.2580,MART
2026-08-26 22:31 UTC,830.02,159.2680,MART
2026-08-26 22:36 UTC,829.69,159.2610,MART
2026-08-26 22:41 UTC,829.32,159.2530,MART
2026-08-26 22:46 UTC,829.08,159.2480,MART
2026-08-26 22:51 UTC,829.55,159.2580,MART
2026-08-26 22:56 UTC,829.55,159.2580,MART
2026-08-26 23:02 UTC,829.04,159.2470,MART
2026-08-26 23:07 UTC,828.76,159.2410,MART
2026-08-26 23:12 UTC,828.57,159.2370,MART
2026-08-26 23:17 UTC,827.73,159.2190,MART
2026-08-26 23:22 UTC,827.54,159.2150,MART
2026-08-26 23:27 UTC,828.24,159.2300,MART
2026-08-26 23:32 UTC,828.66,159.2390,MART
2026-08-26 23:37 UTC,828.52,159.2360,MART
2026-08-26 23:42 UTC,828.29,159.2310,MART
2026-08-26 23:47 UTC,828.62,159.2380,MART
2026-08-26 23:52 UTC,829.55,159.2580,MART
2026-08-26 23:57 UTC,829.18,159.2500,MART
2026-08-27 00:02 UTC,826.42,159.1910,MART
2026-08-27 00:07 UTC,825.86,159.1790,MART
2026-08-27 00:12 UTC,824.08,159.1410,MART
2026-08-27 00:17 UTC,824.50,159.1500,MART
2026-08-27 00:22 UTC,823.99,159.1390,MART
2026-08-27 00:27 UTC,823.99,159.1390,MART
2026-08-27 00:32 UTC,823.71,159.1330,MART
2026-08-27 00:37 UTC,824.32,159.1460,MART
2026-08-27 00:42 UTC,824.13,159.1420,MART
2026-08-27 00:47 UTC,824.74,159.1550,MART
2026-08-27 00:52 UTC,825.49,159.1710,MART
2026-08-27 00:57 UTC,826.33,159.1890,MART
2026-08-27 01:02 UTC,826.42,159.1910,MART
2026-08-27 01:07 UTC,826.23,159.1870,MART
2026-08-27 01:12 UTC,825.81,159.1780,MART
2026-08-27 01:17 UTC,825.58,159.1730,MART
2026-08-27 01:22 UTC,826.65,159.1960,MART
2026-08-27 01:27 UTC,825.86,159.1790,MART
2026-08-27 01:32 UTC,827.31,159.2100,MART
2026-08-27 01:37 UTC,827.91,159.2230,MART
2026-08-27 01:42 UTC,829.13,159.2490,MART
2026-08-27 01:47 UTC,828.05,159.2260,MART
2026-08-27 01:52 UTC,828.80,159.2420,MART
2026-08-27 01:57 UTC,828.01,159.2250,MART
2026-08-27 02:02 UTC,830.72,159.2830,MART
2026-08-27 02:07 UTC,830.62,159.2810,MART
2026-08-27 02:12 UTC,830.86,159.2860,MART
