fecha_utc,accion,symbol,precio,cantidad,pnl_pct,equity_despues,motivo
2026-08-13 05:50:06 UTC,BUY,GC=F,4458.00,0.224204,,999.50,Precio 4408.90 > SMA100 4394.70 (1d) -> LONG
2026-08-14 05:48:02 UTC,SELL,GC=F,4376.00,0.224204,-1.84,980.62,Precio 4363.60 < SMA100 4392.64 -> a CASH
2026-08-18 00:15:00 UTC,BUY,GC=F,4415.20,0.221991,,969.21,Precio 4417.80 > SMA100 4392.58 (1d) -> LONG  [replay]
2026-08-19 00:15:00 UTC,SELL,GC=F,4339.80,0.000000,-1.71,962.91,Precio 4366.00 < SMA100 4390.75 (1d) -> CASH  [replay]
2026-08-20 00:15:00 UTC,BUY,GC=F,4506.80,0.213551,,964.46,Precio 4489.40 > SMA100 4391.88 (1d) -> LONG  [replay]
2026-09-02 07:07:59 UTC,SELL,GC=F,4366.80,0.213551,-3.11,932.07,Precio 4348.00 < SMA100 4381.17 -> a CASH
2026-09-04 04:38:27 UTC,BUY,GC=F,4517.00,0.206244,,931.73,Precio 4491.70 > SMA100 4374.71 (1d) -> LONG
